Project ID,Organization,Department,Division,Project Number,Project Category,Project Type,Project Sub-Type,Phase,Priority,Status,Project Name,Description,Justification,Project Location,Notes,Council District,Estimated Start,Estimated End,Plan Cost,Estimated Cost,PO Cost,Actual Cost,Metro Cost,State Cost,Federal Cost,Other Cost,Total Cost,Longitude,Latitude,Layer Name,Mapped Location
644,Metro Nashville,Metro Public Works,Paving,RPMS-10896,Paving,Paving,New,Plan Design,,Planned,ROBERTSON AVE - SPENCER AVE - CUL-DE-SAC,ROBERTSON AVE - MID-BLOCK - CUL-DE-SAC,"Based on the current condiion index, this roadway segment qualifies for paving",ROBERTSON AVE - SPENCER AVE - CUL-DE-SAC,ROBERTSON AVE - MID-BLOCK - CUL-DE-SAC,20,01/01/2021,01/31/2021,87400,0,0,0,87400,0,0,0,87400,-86.88185,36.160212,Project Line,POINT (-86.88185 36.160212)
6634,Metro Nashville,Metro Public Works,Paving,RPMS-18998,Paving,Special Ops,New,Plan Design,,Planned,COURTNEY AVE - BELLFIELD AVE - CURTIS ST,COURTNEY AVE - BELLFIELD AVE - CURTIS ST,"Based on the current condiion index, this roadway segment qualifies for paving",COURTNEY AVE - BELLFIELD AVE - CURTIS ST,PAVING PROJECT: 'COURTNEY AVE - BELLFIELD AVE - CURTIS ST',02,01/01/2021,01/31/2021,43700,0,0,0,47500,0,0,0,43700,-86.83376,36.200524,Project Line,POINT (-86.83376 36.200524)
5100,Metro Nashville,Metro Public Works,Engineering,2016-R-29,Sidewalk,New Sidewalk,New,Complete,,Complete,ANNEX AVE From THUNDERBIRD DR To MALL ENTRANCE,5' Sidewalk with 2' Furnishing Zone,Project fills gaps along Annex Avenue to provide connectivity across I-40 to Transit and Shopping,ANNEX AVE From THUNDERBIRD DR To MALL ENTRANCE,"Installation of new 5' sidewalk and 2' furnishing zone along with curb, gutter, and storm drainage that fills gaps along Annex Avenue to provide connectivity across I-40 to Transit and Shopping",20,05/10/2021,05/11/2022,343000,1784000,1600334.08,254965.87,1600334.08,0,0,0,254965.87,-86.884585,36.141652,Project Line,POINT (-86.884585 36.141652)
5091,Metro Nashville,Metro Public Works,Engineering,2017-R-007,Sidewalk,New Sidewalk,New,Complete,,Complete,DODSON CHAPEL RD From HOGGETT FORD RD To HERMITAGE PARK,6' Sidewalk with 2'-5' Furnishing Zone,"Project provides sidewalk network connectivity from high density housing to Transit, Shopping, and Hermitage Park",DODSON CHAPEL RD From HOGGETT FORD RD To HERMITAGE PARK,"Installation of new 6' sidewalk with 2'-5' furnishing zone along with curb, gutter, and storm drainage that provides sidewalk network connectivity from high density housing to Transit, Shopping, and Hermitage Park",14,07/01/2021,02/05/2022,748000,935000,1022830.55,211417.41,1022830.55,0,0,0,211417.41,-86.614452,36.174653,Project Line,POINT (-86.614452 36.174653)
7675,Metro Nashville,Metro Public Works,Paving,RPMS-49175,Paving,Paving,New,Complete,,Complete,SOUTH ST - 8TH AVE S - MUSIC SQ E,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",SOUTH ST - 8TH AVE S - MUSIC SQ E,"Based on the current condition index, this roadway segment qualifies for paving.",19,01/01/2023,01/31/2023,403750,0,0,0,0,0,0,0,403750,-86.788171,36.147665,Project Line,POINT (-86.788171 36.147665)
7410,Metro Nashville,Metro Public Works,Paving,RPMS-49078,Paving,Paving,New,Complete,,Complete,SOUTHERN WAY - DAISY TRL - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",SOUTHERN WAY - DAISY TRL - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.",08,01/01/2023,01/31/2023,14250,0,0,0,0,0,0,0,14250,-86.596726,36.076714,Project Line,POINT (-86.596726 36.076714)
7376,Metro Nashville,Metro Public Works,Paving,RPMS-49068,Paving,Paving,New,Complete,,Complete,SHAKERTOWN CV - SHAKERTOWN RD - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",SHAKERTOWN CV - SHAKERTOWN RD - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.",29,01/01/2023,01/31/2023,6650,0,0,0,0,0,0,0,6650,-86.602884,36.079749,Project Line,POINT (-86.602884 36.079749)
873,Metro Nashville,Metro Public Works,Paving,RPMS-11305,Paving,Paving,New,Complete,,Complete,SHAKERTOWN RD - TIMBER TRL - DAISY TRL,SHAKERTOWN RD - TIMBER TL - RAVENNA CT,"Based on the current condiion index, this roadway segment qualifies for paving",SHAKERTOWN RD - TIMBER TRL - DAISY TRL,SHAKERTOWN RD - TIMBER TL - RAVENNA CT,29,01/01/2023,01/31/2023,146200,0,0,0,51850,0,0,0,146200,-86.599044,36.079315,Project Line,POINT (-86.599044 36.079315)
7528,Metro Nashville,Metro Public Works,Engineering,22-022314452073,Bikeway,Bike Lane,New,Plan Design,,Planned,Cass St From 18th Ave N To I-65,Upgrade to existing bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Cass St From 18th Ave N To I-65,This bikeway is under consideration as a Fast Track bike lane.,"02, 19, 21","Jul, 2024","Jun, 2025",160000,543881.84,0,0,0,0,0,0,543881.84,-86.804651,36.186503,Project Line,POINT (-86.804651 36.186503)
7357,Metro Nashville,Metro Public Works,Paving,RPMS-49049,Paving,Paving,New,Complete,,Complete,DAISY TRL - COUNTRY WAY RD - DEAD END,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",DAISY TRL - COUNTRY WAY RD - DEAD END,"Based on the current condition index, this roadway segment qualifies for paving.",08,01/01/2023,01/31/2023,159600,0,0,0,0,0,0,0,159600,-86.597477,36.077095,Project Line,POINT (-86.597477 36.077095)
994,Metro Nashville,Metro Public Works,Paving,RPMS-10200,Paving,Paving,New,Plan Design,,Planned,KENDALL DR - KNOB RD - KENDALL DR,KENDALL DR - KNOB RD - KENDALL DR,"Based on the current condiion index, this roadway segment qualifies for paving",KENDALL DR - KNOB RD - KENDALL DR,KENDALL DR - KNOB RD - KENDALL DR,24,01/01/2022,12/31/2022,4250,0,0,0,4250,0,0,0,4250,-86.853973,36.138969,Project Line,POINT (-86.853973 36.138969)
5382,Metro Nashville,Metro Public Works,Engineering,21-031013405842,Bikeway,Protected Bike Lane,New,Plan Design,,Planned,Alabama Ave From 51st Ave N To 42nd Ave N,Construction of a new protected bike lane,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Alabama Ave From 51st Ave N To 42nd Ave N,This bikeway is estimated to begin in 2025 or later.,24,"Jul, 2025","Dec, 2025",150000,150000,0,0,136200,0,0,0,150000,-86.842259,36.153288,Project Line,POINT (-86.842259 36.153288)
7228,Metro Nashville,Metro Public Works,Engineering,SR# 1402807,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,OLD HICKORY BLVD From OLD LEBANON DIRT RD To DODSON CHAPEL RD,Repair handrail and sidewalk sections.,THE HANDRAIL / GUARD ON THE WEST SIDE OF OLD HICKORY IN FRONT OF THE TIRE DISCOUNTERS AT OLD LEBANON DIRT RD IS FALLING DOWN AND IS UNSAFE IT NEEDS TO BE REPAIRED.,OLD HICKORY BLVD From OLD LEBANON DIRT RD To DODSON CHAPEL RD,Repair handrail and sidewalk sections.,"11, 14",12/01/2021,01/30/2022,125078.88,0,0,0,0,0,0,0,125078.88,-86.615304,36.19047,Project Line,POINT (-86.615304 36.19047)
5089,Metro Nashville,Metro Public Works,Engineering,21-031013021570,Sidewalk,New Sidewalk,New,Under Construction,,In Progress,Riverside Dr From Twentieth St To 1502 Riverside Dr,"Sidewalk, curb & gutter, and grass strip","Provides connectivity to Dupont Hadley Middle School, transit, and marina (new luxury apartments)",Riverside Dr From Twentieth St To 1502 Riverside Dr,"Installation of new sidewalk along with curb, gutter, and storm drainage that provides connectivity to Dupont Hadley Middle School, Transit, and marina (new luxury apartments)",11,06/26/2023,04/21/2024,1124824.45,938442,1000999.45,0,938442,0,0,0,938442,-86.640773,36.253107,Project Line,POINT (-86.640773 36.253107)
7485,Metro Nashville,Metro Public Works,Engineering,22-021716080762,Bikeway,Bike Lane,New,Planning/Scoping,,Future,Jefferson St From Ed Temple Blvd To Rosa L Parks Blvd,Upgrade to existing bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Jefferson St From Ed Temple Blvd To Rosa L Parks Blvd,An upgrade is currently being planned for this bikeway.,"19, 21","Jul, 2024","Dec, 2024",0,0,0,0,0,0,0,0,0,-86.81377,36.168524,Project Line,POINT (-86.81377 36.168524)
8282,Metro Nashville,Metro Public Works,Engineering,23-051109373855,Bikeway,Shared Bikeway,New,Planning/Scoping,,Planned,Burch Ave From 31st Ave N To 29th Ave N,This bikeway will help provide connection to Centennial Park and is also part of the Priority Bikeway Network.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Burch Ave From 31st Ave N To 29th Ave N,A new shared route is being installed.,21,"Jul, 2024","Jun, 2025",0,0,0,0,0,0,0,0,0,-86.815645,36.146674,Project Line,POINT (-86.815645 36.146674)
7542,Metro Nashville,Metro Public Works,Engineering,22-022410001023,Bikeway,Shared Bikeway,New,Planning/Scoping,,Planned,Acklen Park Dr From Murphy Rd To Long Blvd,Construction of a new shared bikeway,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Acklen Park Dr From Murphy Rd To Long Blvd,This bikeway is under consideration as a Fast Track bike lane.,"21, 24","Jul, 2024","Jun, 2025",50000,25924.28,0,0,0,0,0,0,25924.28,-86.825465,36.142723,Project Line,POINT (-86.825465 36.142723)
8113,Metro Nashville,Metro Public Works,Engineering,22-120512164744,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Myatt Dr From E Old Hickory Blvd  To Old Hickory Blvd,New 5.5ft sidewalk with driveway and curb ramp improvements,Pedestrian improvements on Myatt Dr,Myatt Dr From E Old Hickory Blvd  To Old Hickory Blvd,This project connects to existing sidewalk,09,08/14/2023,11/04/2023,85000,0,146815.28,146815.28,0,0,0,0,85000,-86.690213,36.263837,Project Line,POINT (-86.690213 36.263837)
7389,Metro Nashville,Metro Public Works,Engineering,21-112410520554,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,Hickory Plaza From Old Hickory Blvd To Ocala Dr,Varying cross-section primarily consisting of a 5’ sidewalk at the back of the curb.,This project increases pedestrian safety by connecting the existing sidewalk network to multiple transit stops through a commercial area.,Hickory Plaza From Old Hickory Blvd To Ocala Dr,Sidewalk project construction is complete.,27,01/12/2022,03/18/2022,426167.88,0,0,0,0,0,0,0,426167.88,-86.715111,36.048945,Project Line,POINT (-86.715111 36.048945)
8005,Metro Nashville,Metro Public Works,Engineering,22-102712175904,Sidewalk,New Sidewalk,New,Plan Design,,Planned,Allison Pl From Wedgewood Ave To Southgate Ave,5ft sidewalk with new curb and gutter,To improve pedestrian safety and connectivity,Allison Pl From Wedgewood Ave To Southgate Ave,NA,17,09/13/2024,12/11/2024,1163981.7,0,0,0,0,0,0,0,1163981.7,-86.769017,36.134738,Project Line,POINT (-86.769017 36.134738)
7179,Metro Nashville,Metro Public Works,Paving,RPMS-39002,Paving,Paving,New,Complete,,Complete,STRASSER DR - PACKARD DR - NOLENSVILLE PIKE,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",STRASSER DR - PACKARD DR - NOLENSVILLE PIKE,"Based on the current condition index, this roadway segment qualifies for paving.",27,01/01/2023,01/31/2023,115900,0,0,0,0,0,0,0,115900,-86.712029,36.060384,Project Line,POINT (-86.712029 36.060384)
7572,Metro Nashville,Metro Public Works,Engineering,22-030712205822,Bikeway,Bike Lane,New,Future,,Future,Charlotte Ave From 28th Ave N To George L Davis Blvd,Construction of a new bike lane or bike lane upgrade.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Charlotte Ave From 28th Ave N To George L Davis Blvd,This bikeway is under consideration as a Fast Track bike lane. This bikeway is estimated to begin in 2025 or later.,"19, 21","Jul, 2025","Dec, 2025",0,0,0,0,0,0,0,0,0,-86.803857,36.157073,Project Line,POINT (-86.803857 36.157073)
7835,Metro Nashville,Metro Public Works,Engineering,22-090710143331,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Hickory Hollow Lane From Hickory Hollow Pkwy To 5319 Hickory Hollow Lane,524 ft of new sidewalk with 5ft width along back of curb.,This project will connect two adjacent commercial areas and fill gaps in an existing network.,Hickory Hollow Lane From Hickory Hollow Pkwy To 5319 Hickory Hollow Lane,This project met selection criteria due to connectivity and the opportunity to provide safety improvements.,32,01/31/2023,03/31/2023,46800,0,0,0,0,0,0,0,46800,-86.654019,36.047196,Project Line,POINT (-86.654019 36.047196)
7500,Metro Nashville,Metro Public Works,Engineering,22-022214573675,Sidewalk,New Sidewalk,New,Future,,Future,BROADMOOR DR From DICKERSON PIKE To WALTON LN,"This project will bridge a sidewalk gap on Broadmoor Drive, increasing walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,BROADMOOR DR From DICKERSON PIKE To WALTON LN,New sidewalk to be installed on south side of Broadmoor Drive from Dickerson Pike to Walton Lane. Estimated start of 2026.,05,2026,2026,1179358.75,0,0,0,0,0,0,0,1179358.75,-86.754644,36.229933,Project Line,POINT (-86.754644 36.229933)
8300,Metro Nashville,Metro Public Works,Engineering,23-060117090473,Bridge,Bridge Repairs,Maintenance/Repairs,Ready for Construction,,Planned,Polk Avenue/ CSXT Railroad,"Flagged - NDOT. The work will consist of: Repair concrete deterioration on the bridge deck and abutment, install epoxy seal coat on the bridge deck.","The 2021 TDOT inspection identified concrete cracks on bridge deck, concrete cracks and concrete spalls with exposed steel on the southern abutment, concrete spalls with exposed steel on bottom of bridge deck.",Polk Avenue/ CSXT Railroad,Traffic control measures will be required to complete the planned bridge repairs.,16,,,0,109670,0,0,0,0,0,0,109670,-86.748687,36.133608,Project Poly,POINT (-86.748687 36.133608)
5163,Metro Nashville,Metro Public Works,Engineering,21-041308343536,Sidewalk,New Sidewalk,New,Ready for Construction,,Planned,Highway 70 S  From Metro Park To Sawyer Brown Rd,"Sidewalk, curb & gutter, and grass strip",Project fills gaps in sidewalk network along commercial district on Hwy 70 S and provides transit connectivity,Highway 70 S  From Metro Park To Sawyer Brown Rd,"Installation of new sidewalk along with curb, gutter, and storm drainage that fills gaps in sidewalk network along commercial district on Hwy 70 S and provides Transit connectivity",22,02/01/2024,07/20/2024,1588816,712160,0,0,712160,0,0,0,712160,-86.951192,36.078401,Project Line,POINT (-86.951192 36.078401)
5365,Metro Nashville,Metro Public Works,Engineering,21-071610194955,Bikeway,Bike Lane,New,Future,,Future,Cleveland St/W Eastland Ave From Ellington Pkwy To Gallatin Pike,"New bikeway includes signed shared route, bike lane, and buffered bike lane",To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Cleveland St/W Eastland Ave From Ellington Pkwy To Gallatin Pike,This bikeway is estimated to begin in 2025 or later.,05,"Jul, 2025","Dec, 2025",26000,26000,25994,0,25994,0,0,0,26000,-86.756331,36.18448,Project Line,POINT (-86.756331 36.18448)
7573,Metro Nashville,Metro Public Works,Engineering,22-030712253396,Bikeway,Bike Lane,New,Future,,Future,Herman St From Dr. DB Todd Jr Blvd To 12th Ave N,Construction of a new bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Herman St From Dr. DB Todd Jr Blvd To 12th Ave N,This bikeway is estimated to begin in 2025 or later.,"19, 21","Jul, 2025","Dec, 2025",0,0,0,0,0,0,0,0,0,-86.801668,36.164904,Project Line,POINT (-86.801668 36.164904)
7525,Metro Nashville,Metro Public Works,Engineering,22-022314021889,Bikeway,Protected Bike Lane,New,Plan Design,,Planned,KVB/Shelby Ave From 8th Ave S To S 4th St,Upgrade existing bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,KVB/Shelby Ave From 8th Ave S To S 4th St,This bikeway is under consideration as a Fast Track bike lane.,"06, 19","Jul, 2025","Dec, 2025",632944.62,1160834.1,0,0,0,0,0,0,1160834.1,-86.76416,36.166861,Project Line,POINT (-86.76416 36.166861)
7575,Metro Nashville,Metro Public Works,Engineering,22-030712361674,Bikeway,Bike Lane,New,Future,,Future,McMillin St From Church St To Charlotte Ave,Construction of a new bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,McMillin St From Church St To Charlotte Ave,This bikeway is estimated to begin in 2025 or later.,19,"Jul, 2025","Dec, 2025",0,0,0,0,0,0,0,0,0,-86.794721,36.15829,Project Line,POINT (-86.794721 36.15829)
7627,Metro Nashville,Metro Public Works,Engineering,22-033116581889,Bridge,Replace Bridge Deck,Rehabilitation,Under Construction,,In Progress,Dr Martin L King Jr Boulevard (Charlotte Pike)/ Rosa L Parks Boulevard,Bridge Deck Replacement - The work will consist of replacing the bridge deck and approaches as identified by TDOT's inspection report and included in TDOT Flagged bridges list and to ensure the safety of the traveling public.,To replace bridge deck and approaches as identified by TDOT's inspection report and included in TDOT Flagged bridges list and to ensure the safety of the traveling public.,Dr Martin L King Jr Boulevard (Charlotte Pike)/ Rosa L Parks Boulevard,Bridge deck replacement will require lane closures/ road closure,19,09/11/2023,10/10/2024,2000000,2530000,1970516.85,0,0,0,0,0,2530000,-86.786416,36.163937,Project Poly,POINT (-86.786416 36.163937)
7576,Metro Nashville,Metro Public Works,Engineering,22-030712465456,Bikeway,Protected Bike Lane,New,Future,,Future,Pennington Bend Rd/Lock Two Rd From Valley Bend Rd To Lock Two Park,"Construction of a new walking/biking path, in partnership with private development.",To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Pennington Bend Rd/Lock Two Rd From Valley Bend Rd To Lock Two Park,This path is estimated to begin in 2025 or later.,15,"Jul, 2025","Dec, 2025",0,0,0,0,0,0,0,0,0,-86.694165,36.229839,Project Line,POINT (-86.694165 36.229839)
7128,Metro Nashville,Metro Public Works,Engineering,21-060808070803,Bikeway,Protected Bike Lane,New,Construction/Closeout/Warranty,,Complete,Georgia Ave From Delray Dr To 51st Ave N,Nations Neighborways a protected bike lane on the north side of Georgia between Morrow Rd and 51st Ave and a buffered bike lane and on-street parking on the south side of Georgia between Morrow Rd and 51st Ave.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Georgia Ave From Delray Dr To 51st Ave N,On-street parking is no longer allowed on the north side of Georgia.,20,"Apr, 2023","Sep, 2023",19600,141300.42,70746.86,70746.86,19600,0,0,0,141300.42,-86.852908,36.155197,Project Line,POINT (-86.852908 36.155197)
7753,Metro Nashville,Metro Public Works,Engineering,22-070111193319,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Fairlane Dr From Nolensville Pike To Cypress Dr,New 5' sidewalk project on south side of Fairlane Dr.,"This project connects the existing sidewalk network to residential, commercial and religious facilities.",Fairlane Dr From Nolensville Pike To Cypress Dr,Sidewalk project is complete.,30,11/03/2022,11/28/2022,471473.79,0,0,0,0,0,0,0,471473.79,-86.713369,36.063607,Project Line,POINT (-86.713369 36.063607)
7271,Metro Nashville,Metro Public Works,Engineering,21-093011351299,Bridge,Bridge Replacement,Replacement,Survey,,In Progress,Old Hickory Boulevard/Earthman Fork Creek - R.oW./Permit,"BRIDGE REPLACEMENT DESIGN, PERMIT ACQUISITION, & RIGHT-OF-WAY ACQUISITION - Funding requested for permit acquisition, and right-of-way acquisition. To replace the bridge that is rated poor by 2021 TDOT inspection report. The bridge is load posted for 13 tons two axle vehicles, 23 tons 3 or more axles vehicles.  The bridge concrete beams (all 5) show signs of deterioration including delamination.",To address and resolve the following deficiencies: Concrete beams (all 5) show signs of deterioration including delamination,Old Hickory Boulevard/Earthman Fork Creek - R.oW./Permit,The bridge replacement will require traffic control measures.,01,05/01/2023,,0,250000,241582,0,0,0,0,0,250000,-86.831394,36.26571,Project Poly,POINT (-86.831394 36.26571)
7877,Metro Nashville,Metro Public Works,Engineering,22-091907092597,Sidewalk,New Sidewalk,New,Future,,Future,Percy Warner Blvd From Hwy 70 S To Vaughns Gap Rd,5ft Sidewalk with curb. FZ varies.,To provide pedestrian safety and local connectivity.,Percy Warner Blvd From Hwy 70 S To Vaughns Gap Rd,Sidewalk is in planning phase.,23,09/01/2024,12/01/2024,1033600,0,0,0,0,0,0,0,1033600,-86.889854,36.083633,Project Line,POINT (-86.889854 36.083633)
5071,Metro Nashville,Metro Public Works,Engineering,21-042012032009,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,Vailview Dr From Richmond Hill Dr To Parkwood Park Entrance,5' Sidewalk with 4' Furnishing Zone,Provides connectivity from existing sidewalk on Richmond Hill Drive to Parkwood Park and Transit,Vailview Dr From Richmond Hill Dr To Parkwood Park Entrance,"Installation of new 5' sidewalk and 4' furnishing zone along with curb, gutter, and storm drainage that provides connectivity from existing sidewalk on Richmond Hill Drive to Parkwood Park and Transit",03,12/15/2021,01/14/2022,309000,750000,137872,137872,137872,0,0,0,137872,-86.773079,36.235399,Project Line,POINT (-86.773079 36.235399)
7578,Metro Nashville,Metro Public Works,Engineering,22-030713023830,Bikeway,Bike Lane,New,Future,,Future,S 7th St From Davidson St To Shelby Ave,Construction of a new bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,S 7th St From Davidson St To Shelby Ave,This bikeway is estimated to begin in 2025 or later.,06,"Jul, 2025","Dec, 2025",36281.2,0,0,0,0,0,0,0,36281.2,-86.754671,36.163748,Project Line,POINT (-86.754671 36.163748)
